sample_index,root-cause(s)
1978,rootcause3
1979,rootcause3
1980,rootcause2
1981,rootcause1
1982,rootcause2&rootcause3
1983,rootcause3
1984,rootcause3
1985,rootcause3
1986,rootcause3
1987,rootcause3
1988,rootcause1
1989,rootcause1
1990,rootcause3
1991,rootcause3
1992,rootcause1
1993,rootcause1
1994,rootcause1
1995,rootcause1
1996,rootcause3
1997,rootcause3
1998,rootcause3
1999,rootcause3
2000,rootcause3
2001,rootcause3
2002,rootcause3
2003,rootcause3
2004,rootcause3
2005,rootcause3
2006,rootcause1
2007,rootcause3
2008,rootcause3
2009,rootcause3
2010,rootcause3
2011,rootcause3
2012,rootcause3
2013,rootcause3
2014,rootcause3
2015,rootcause1
2016,rootcause3
2017,rootcause3
2018,rootcause3
2019,rootcause3
2020,rootcause3
2021,rootcause3
2022,rootcause3
2023,rootcause3
2024,rootcause3
2025,rootcause3
2026,rootcause3
2027,rootcause3
2028,rootcause3
2029,rootcause3
2030,rootcause3
2031,rootcause2&rootcause3
2032,rootcause3
2033,rootcause3
2034,rootcause3
2035,rootcause2
2036,rootcause2&rootcause3
2037,rootcause3
2038,rootcause3
2039,rootcause3
2040,rootcause1
2041,rootcause1
2042,rootcause3
2043,rootcause1
2044,rootcause3
2045,rootcause3
2046,rootcause3
2047,rootcause3
2048,rootcause3
2049,rootcause3
2050,rootcause3
2051,rootcause3
2052,rootcause3
2053,rootcause3
2054,rootcause3
2055,rootcause3
2056,rootcause3
2057,rootcause3
2058,rootcause3
2059,rootcause3
2060,rootcause3
2061,rootcause3
2062,rootcause3
2063,rootcause3
2064,rootcause3
2065,rootcause3
2066,rootcause3
2067,rootcause1
2068,rootcause3
2069,rootcause3
2070,rootcause2&rootcause3
2071,rootcause2&rootcause3
2072,rootcause2&rootcause3
2073,rootcause3
2074,rootcause1
2075,rootcause3
2076,rootcause3
2077,rootcause3
2078,rootcause2
2079,rootcause2
2080,rootcause2&rootcause3
2081,rootcause2&rootcause3
2082,rootcause2&rootcause3
2083,rootcause2
2084,rootcause2&rootcause3
2085,rootcause3
2086,rootcause3
2087,rootcause3
2088,rootcause3
2089,rootcause1
2090,rootcause1
2091,rootcause3
2092,rootcause3
2093,rootcause1
2094,rootcause3
2095,rootcause3
2096,rootcause3
2097,rootcause3
2098,rootcause3
2099,rootcause3
2100,rootcause3
2101,rootcause3
2102,rootcause3
2103,rootcause3
2104,rootcause3
2105,rootcause1
2106,rootcause3
2107,rootcause3
2108,rootcause3
2109,rootcause3
2110,rootcause3
2111,rootcause3
2112,rootcause3
2113,rootcause3
2114,rootcause3
2115,rootcause3
2116,rootcause3
2117,rootcause3
2118,rootcause3
2119,rootcause3
2120,rootcause3
2121,rootcause3
2122,rootcause3
2123,rootcause3
2124,rootcause3
2125,rootcause1
2126,rootcause3
2127,rootcause3
2128,rootcause3
2129,rootcause3
2130,rootcause1
2131,rootcause3
2132,rootcause3
2133,rootcause3
2134,rootcause3
2135,rootcause2&rootcause3
2136,rootcause3
2137,rootcause2&rootcause3
2138,rootcause2&rootcause3
2139,rootcause3
2140,rootcause3
2141,rootcause3
2142,rootcause3
2143,rootcause3
2144,rootcause3
2145,rootcause3
2146,rootcause2&rootcause3
2147,rootcause2&rootcause3
2148,rootcause3
2149,rootcause3
2150,rootcause2&rootcause3
2151,rootcause3
2152,rootcause1
2153,rootcause3
2154,rootcause3
2155,rootcause3
2156,rootcause3
2157,rootcause3
2158,rootcause3
2159,rootcause3
2160,rootcause3
2161,rootcause3
2162,rootcause3
2163,rootcause3
2164,rootcause3
2165,rootcause3
2166,rootcause3
2167,rootcause3
2168,rootcause3
2169,rootcause3
2170,rootcause3
2171,rootcause1
2172,rootcause3
2173,rootcause3
2174,rootcause3
2175,rootcause3
2176,rootcause3
2177,rootcause3
2178,rootcause3
2179,rootcause3
2180,rootcause3
2181,rootcause3
2182,rootcause3
2183,rootcause3
2184,rootcause3
2185,rootcause3
2186,rootcause3
2187,rootcause3
2188,rootcause3
2189,rootcause3
2190,rootcause3
2191,rootcause3
2192,rootcause3
2193,rootcause3
2194,rootcause3
2195,rootcause3
2196,rootcause3
2197,rootcause3
2198,rootcause3
2199,rootcause3
2200,rootcause3
2201,rootcause3
2202,rootcause3
2203,rootcause3
2204,rootcause3
2205,rootcause1
2206,rootcause2&rootcause3
2207,rootcause3
2208,rootcause2
2209,rootcause3
2210,rootcause3
2211,rootcause2&rootcause3
2212,rootcause3
2213,rootcause3
2214,rootcause3
2215,rootcause3
2216,rootcause3
2217,rootcause3
2218,rootcause2
2219,rootcause3
2220,rootcause3
2221,rootcause3
2222,rootcause3
2223,rootcause3
2224,rootcause3
2225,rootcause3
2226,rootcause2&rootcause3
2227,rootcause2
2228,rootcause2
2229,rootcause2&rootcause3
2230,rootcause3
2231,rootcause1
2232,rootcause1
2233,rootcause3
2234,rootcause3
2235,rootcause3
2236,rootcause3
2237,rootcause3
2238,rootcause3
2239,rootcause3
2240,rootcause3
2241,rootcause3
2242,rootcause3
2243,rootcause3
2244,rootcause3
2245,rootcause3
2246,rootcause3
2247,rootcause3
2248,rootcause3
2249,rootcause3
2250,rootcause3
2251,rootcause3
2252,rootcause3
2253,rootcause3
2254,rootcause3
2255,rootcause3
2256,rootcause3
2257,rootcause3
2258,rootcause3
2259,rootcause3
2260,rootcause3
2261,rootcause3
2262,rootcause3
2263,rootcause3
2264,rootcause3
2265,rootcause3
2266,rootcause3
2267,rootcause3
2268,rootcause3
2269,rootcause3
2270,rootcause3
2271,rootcause3
2272,rootcause3
2273,rootcause3
2274,rootcause1
2275,rootcause3
2276,rootcause1
2277,rootcause3
2278,rootcause3
2279,rootcause3
2280,rootcause3
2281,rootcause3
2282,rootcause3
2283,rootcause3
2284,rootcause3
2285,rootcause1
2286,rootcause3
2287,rootcause3
2288,rootcause2&rootcause3
2289,rootcause2&rootcause3
2290,rootcause2&rootcause3
2291,rootcause2&rootcause3
2292,rootcause3
2293,rootcause3
2294,rootcause3
2295,rootcause3
2296,rootcause3
2297,rootcause3
2298,rootcause3
2299,rootcause3
2300,rootcause3
2301,rootcause3
2302,rootcause3
2303,rootcause1
2304,rootcause3
2305,rootcause3
2306,rootcause3
2307,rootcause3
2308,rootcause3
2309,rootcause3
2310,rootcause3
2311,rootcause3
2312,rootcause3
2313,rootcause3
2314,rootcause3
2315,rootcause3
2316,rootcause3
2317,rootcause3
2318,rootcause3
2319,rootcause3
2320,rootcause3
2321,rootcause3
2322,rootcause3
2323,rootcause3
2324,rootcause3
2325,rootcause3
2326,rootcause3
2327,rootcause3
2328,rootcause3
2329,rootcause3
2330,rootcause3
2331,rootcause3
2332,rootcause3
2333,rootcause3
2334,rootcause3
2335,rootcause3
2336,rootcause3
2337,rootcause3
2338,rootcause3
2339,rootcause3
2340,rootcause3
2341,rootcause3
2342,rootcause3
2343,rootcause3
2344,rootcause3
2345,rootcause3
2346,rootcause3
2347,rootcause3
2348,rootcause3
2349,rootcause3
2350,rootcause3
2351,rootcause2&rootcause3
2352,rootcause3
2353,rootcause3
2354,rootcause3
2355,rootcause3
2356,rootcause3
2357,rootcause3
2358,rootcause3
2359,rootcause3
2360,rootcause3
2361,rootcause1
2362,rootcause3
2363,rootcause3
2364,rootcause3
2365,rootcause3
2366,rootcause3
2367,rootcause1
2368,rootcause3
2369,rootcause3
2370,rootcause3
2371,rootcause3
2372,rootcause3
2373,rootcause3
2374,rootcause3
2375,rootcause3
2376,rootcause3
2377,rootcause3
2378,rootcause3
2379,rootcause3
2380,rootcause3
2381,rootcause3
2382,rootcause3
2383,rootcause3
2384,rootcause3
2385,rootcause3
2386,rootcause3
2387,rootcause3
2388,rootcause3
2389,rootcause3
2390,rootcause3
2391,rootcause3
2392,rootcause3
2393,rootcause3
2394,rootcause3
2395,rootcause3
2396,rootcause3
2397,rootcause3
2398,rootcause3
2399,rootcause3
2400,rootcause3
2401,rootcause3
2402,rootcause3
2403,rootcause3
2404,rootcause3
2405,rootcause3
2406,rootcause3
2407,rootcause3
2408,rootcause3
2409,rootcause3
2410,rootcause3
2411,rootcause3
2412,rootcause3
2413,rootcause3
2414,rootcause3
2415,rootcause3
2416,rootcause3
2417,rootcause3
2418,rootcause3
2419,rootcause3
2420,rootcause3
2421,rootcause3
2422,rootcause3
2423,rootcause3
2424,rootcause3
2425,rootcause1
2426,rootcause3
2427,rootcause3
2428,rootcause3
2429,rootcause3
2430,rootcause3
2431,rootcause3
2432,rootcause3
2433,rootcause3
2434,rootcause3
2435,rootcause3
2436,rootcause3
2437,rootcause3
2438,rootcause3
2439,rootcause3
2440,rootcause3
2441,rootcause3
2442,rootcause3
2443,rootcause3
2444,rootcause3
2445,rootcause3
2446,rootcause3
2447,rootcause3
2448,rootcause3
2449,rootcause3
2450,rootcause3
2451,rootcause3
2452,rootcause3
2453,rootcause3
2454,rootcause3
2455,rootcause3
2456,rootcause3
2457,rootcause3
2458,rootcause3
2459,rootcause3
2460,rootcause3
2461,rootcause3
2462,rootcause3
2463,rootcause3
2464,rootcause3
2465,rootcause3
2466,rootcause3
2467,rootcause3
2468,rootcause3
2469,rootcause3
2470,rootcause3
2471,rootcause3
2472,rootcause3
2473,rootcause3
2474,rootcause3
2475,rootcause3
2476,rootcause3
2477,rootcause3
2478,rootcause3
2479,rootcause3
2480,rootcause3
2481,rootcause3
2482,rootcause3
2483,rootcause3
2484,rootcause3
2485,rootcause3
2486,rootcause3
2487,rootcause3
2488,rootcause2&rootcause3
2489,rootcause3
2490,rootcause3
2491,rootcause3
2492,rootcause3
2493,rootcause3
2494,rootcause3
2495,rootcause3
2496,rootcause3
2497,rootcause3
2498,rootcause3
2499,rootcause3
2500,rootcause3
2501,rootcause3
2502,rootcause3
2503,rootcause3
2504,rootcause3
2505,rootcause3
2506,rootcause3
2507,rootcause3
2508,rootcause3
2509,rootcause3
2510,rootcause3
2511,rootcause1
2512,rootcause3
2513,rootcause3
2514,rootcause3
2515,rootcause3
2516,rootcause3
2517,rootcause1
2518,rootcause3
2519,rootcause3
2520,rootcause3
2521,rootcause3
2522,rootcause3
2523,rootcause3
2524,rootcause3
2525,rootcause1
2526,rootcause1
2527,rootcause1
2528,rootcause3
2529,rootcause3
2530,rootcause3
2531,rootcause3
2532,rootcause3
2533,rootcause3
2534,rootcause3
2535,rootcause3
2536,rootcause3
2537,rootcause3
2538,rootcause3
2539,rootcause3
2540,rootcause3
2541,rootcause3
2542,rootcause3
2543,rootcause3
2544,rootcause3
2545,rootcause3
2546,rootcause3
2547,rootcause3
2548,rootcause3
2549,rootcause1
2550,rootcause3
2551,rootcause3
2552,rootcause3
2553,rootcause3
2554,rootcause3
2555,rootcause3
2556,rootcause3
2557,rootcause3
2558,rootcause1
2559,rootcause1
2560,rootcause3
2561,rootcause3
2562,rootcause3
2563,rootcause3
2564,rootcause3
2565,rootcause1
2566,rootcause3
2567,rootcause3
2568,rootcause3
2569,rootcause3
2570,rootcause3
2571,rootcause3
2572,rootcause3
2573,rootcause3
2574,rootcause3
2575,rootcause3
2576,rootcause3
2577,rootcause3
2578,rootcause3
2579,rootcause3
2580,rootcause3
2581,rootcause3
2582,rootcause3
2583,rootcause3
2584,rootcause3
2585,rootcause3
2586,rootcause1
2587,rootcause1
2588,rootcause3
2589,rootcause3
2590,rootcause3
2591,rootcause3
2592,rootcause3
2593,rootcause3
2594,rootcause3
2595,rootcause3
2596,rootcause3
2597,rootcause3
2598,rootcause3
2599,rootcause3
2600,rootcause3
2601,rootcause3
2602,rootcause3
2603,rootcause1
2604,rootcause3
2605,rootcause1
2606,rootcause1
2607,rootcause3
2608,rootcause3
2609,rootcause3
2610,rootcause3
2611,rootcause3
2612,rootcause3
2613,rootcause1
2614,rootcause1
2615,rootcause3
2616,rootcause3
2617,rootcause3
2618,rootcause3
2619,rootcause3
2620,rootcause1
2621,rootcause3
2622,rootcause3
2623,rootcause3
2624,rootcause3
2625,rootcause3
2626,rootcause3
2627,rootcause3
2628,rootcause3
2629,rootcause3
2630,rootcause3
2631,rootcause3
2632,rootcause3
2633,rootcause3
2634,rootcause3
2635,rootcause3
2636,rootcause3
2637,rootcause3
2638,rootcause3
2639,rootcause3
2640,rootcause3
2641,rootcause3
2642,rootcause3
2643,rootcause3
2644,rootcause3
2645,rootcause3
2646,rootcause3
2647,rootcause3
2648,rootcause3
2649,rootcause3
2650,rootcause3
2651,rootcause3
2652,rootcause3
2653,rootcause3
2654,rootcause3
2655,rootcause3
2656,rootcause3
2657,rootcause3
2658,rootcause3
2659,rootcause3
2660,rootcause3
2661,rootcause3
2662,rootcause1
2663,rootcause3
2664,rootcause3
2665,rootcause3
2666,rootcause3
2667,rootcause3
2668,rootcause3
2669,rootcause3
2670,rootcause3
2671,rootcause3
2672,rootcause3
2673,rootcause3
2674,rootcause3
2675,rootcause3
2676,rootcause3
2677,rootcause3
2678,rootcause3
2679,rootcause3
2680,rootcause3
2681,rootcause3
2682,rootcause3
2683,rootcause3
2684,rootcause3
2685,rootcause3
2686,rootcause3
2687,rootcause3
2688,rootcause3
2689,rootcause3
2690,rootcause3
2691,rootcause3
2692,rootcause3
2693,rootcause3
2694,rootcause3
2695,rootcause3
2696,rootcause3
2697,rootcause3
2698,rootcause3
2699,rootcause3
2700,rootcause3
2701,rootcause3
2702,rootcause3
2703,rootcause3
2704,rootcause3
2705,rootcause3
2706,rootcause3
2707,rootcause3
2708,rootcause3
2709,rootcause3
2710,rootcause3
2711,rootcause3
2712,rootcause3
2713,rootcause3
2714,rootcause3
2715,rootcause3
2716,rootcause3
2717,rootcause3
2718,rootcause3
2719,rootcause3
2720,rootcause3
2721,rootcause3
2722,rootcause3
2723,rootcause3
2724,rootcause3
2725,rootcause1
2726,rootcause3
2727,rootcause3
2728,rootcause3
2729,rootcause3
2730,rootcause3
2731,rootcause3
2732,rootcause3
2733,rootcause3
2734,rootcause3
2735,rootcause3
2736,rootcause3
2737,rootcause3
2738,rootcause3
2739,rootcause3
2740,rootcause3
2741,rootcause3
2742,rootcause3
2743,rootcause3
2744,rootcause3
2745,rootcause3
2746,rootcause3
2747,rootcause3
2748,rootcause3
2749,rootcause3
2750,rootcause3
2751,rootcause3
2752,rootcause2&rootcause3
2753,rootcause3
2754,rootcause3
2755,rootcause3
2756,rootcause3
2757,rootcause3
2758,rootcause3
2759,rootcause3
2760,rootcause3
2761,rootcause3
2762,rootcause3
2763,rootcause3
2764,rootcause3
2765,rootcause3
2766,rootcause3
2767,rootcause3
2768,rootcause3
2769,rootcause3
2770,rootcause3
2771,rootcause3
2772,rootcause3
2773,rootcause3
2774,rootcause3
2775,rootcause3
2776,rootcause3
2777,rootcause3
2778,rootcause3
2779,rootcause3
2780,rootcause3
2781,rootcause3
2782,rootcause3
2783,rootcause3
2784,rootcause3
2785,rootcause3
2786,rootcause3
2787,rootcause3
2788,rootcause3
2789,rootcause3
2790,rootcause3
2791,rootcause3
2792,rootcause3
2793,rootcause3
2794,rootcause3
2795,rootcause3
2796,rootcause3
2797,rootcause3
2798,rootcause3
2799,rootcause3
2800,rootcause3
2801,rootcause3
2802,rootcause3
2803,rootcause3
2804,rootcause3
2805,rootcause3
2806,rootcause3
2807,rootcause3
2808,rootcause3
2809,rootcause3
2810,rootcause3
2811,rootcause3
2812,rootcause3
2813,rootcause3
2814,rootcause3
2815,rootcause3
2816,rootcause3
2817,rootcause3
2818,rootcause3
2819,rootcause3
2820,rootcause3
2821,rootcause3
2822,rootcause3
2823,rootcause3
2824,rootcause3
2825,rootcause3
2826,rootcause3
2827,rootcause3
2828,rootcause3
2829,rootcause3
2830,rootcause3
2831,rootcause3
2832,rootcause3
2833,rootcause3
2834,rootcause3
2835,rootcause3
2836,rootcause3
2837,rootcause3
2838,rootcause3
2839,rootcause3
2840,rootcause3
2841,rootcause3
2842,rootcause3
2843,rootcause3
2844,rootcause3
2845,rootcause3
2846,rootcause3
2847,rootcause3
2848,rootcause3
2849,rootcause3
2850,rootcause3
2851,rootcause3
2852,rootcause2&rootcause3
2853,rootcause3
2854,rootcause3
2855,rootcause3
2856,rootcause3
2857,rootcause3
2858,rootcause3
2859,rootcause3
2860,rootcause3
2861,rootcause3
2862,rootcause3
2863,rootcause3
2864,rootcause3
2865,rootcause3
2866,rootcause3
2867,rootcause3
2868,rootcause3
2869,rootcause3
2870,rootcause3
2871,rootcause3
2872,rootcause3
2873,rootcause3
2874,rootcause3
2875,rootcause3
2876,rootcause3
2877,rootcause3
2878,rootcause3
2879,rootcause3
2880,rootcause3
2881,rootcause3
2882,rootcause3
2883,rootcause3
2884,rootcause3
2885,rootcause3
2886,rootcause3
2887,rootcause3
2888,rootcause3
2889,rootcause3
2890,rootcause3
2891,rootcause3
2892,rootcause3
2893,rootcause3
2894,rootcause3
2895,rootcause3
2896,rootcause3
2897,rootcause3
2898,rootcause3
2899,rootcause3
2900,rootcause3
2901,rootcause3
2902,rootcause3
2903,rootcause3
2904,rootcause3
2905,rootcause3
2906,rootcause3
2907,rootcause3
2908,rootcause3
2909,rootcause3
2910,rootcause3
2911,rootcause3
2912,rootcause3
2913,rootcause3
2914,rootcause3
2915,rootcause3
2916,rootcause3
2917,rootcause1
2918,rootcause3
2919,rootcause3
2920,rootcause3
2921,rootcause3
2922,rootcause3
2923,rootcause3
2924,rootcause3
2925,rootcause3
2926,rootcause3
2927,rootcause3
2928,rootcause3
2929,rootcause3
2930,rootcause3
2931,rootcause3
2932,rootcause3
2933,rootcause3
2934,rootcause3
2935,rootcause3
2936,rootcause3
2937,rootcause3
2938,rootcause3
2939,rootcause3
2940,rootcause3
2941,rootcause3
2942,rootcause3
2943,rootcause3
2944,rootcause3
2945,rootcause3
2946,rootcause1
2947,rootcause3
2948,rootcause3
2949,rootcause3
2950,rootcause3
2951,rootcause3
2952,rootcause3
2953,rootcause3
2954,rootcause3
2955,rootcause3
2956,rootcause3
2957,rootcause3
2958,rootcause3
2959,rootcause3
2960,rootcause3
2961,rootcause3
2962,rootcause3
2963,rootcause3
2964,rootcause3
2965,rootcause3
2966,rootcause3
2967,rootcause3
2968,rootcause3
2969,rootcause3
2970,rootcause3
2971,rootcause3
2972,rootcause3
2973,rootcause3
2974,rootcause3
2975,rootcause3
2976,rootcause3
2977,rootcause3
2978,rootcause3
2979,rootcause3
2980,rootcause3
2981,rootcause3
2982,rootcause3
2983,rootcause3
